Date,Name,Year,Letterboxd URI,Rating
2023-12-03,Taxi Driver,1976,https://boxd.it/2b8y,4
2023-12-03,Call Me by Your Name,2017,https://boxd.it/dYmm,4
2023-12-03,Ex Machina,2015,https://boxd.it/7T2k,4
2023-12-03,American Beauty,1999,https://boxd.it/71Y,4
2023-12-03,There Will Be Blood,2007,https://boxd.it/20Z2,3
2023-12-03,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4
2023-12-03,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,3
2023-12-03,Moonrise Kingdom,2012,https://boxd.it/2Wng,5
2023-12-03,Isle of Dogs,2018,https://boxd.it/dZrW,3
2023-12-03,The Royal Tenenbaums,2001,https://boxd.it/1YHU,4
2023-12-03,Lady Vengeance,2005,https://boxd.it/248G,4
2023-12-03,Stoker,2013,https://boxd.it/34S2,3
2023-12-03,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU,3
2023-12-03,Joint Security Area,2000,https://boxd.it/26Ja,3
2023-12-03,I Saw the Devil,2010,https://boxd.it/FaK,4
2023-12-03,Mr. Sunshine,2018,https://boxd.it/uPqS,4
2023-12-03,The Age of Shadows,2016,https://boxd.it/cruq,3
2023-12-03,The Attorney,2013,https://boxd.it/77Pe,3
2023-12-30,Mean Girls,2004,https://boxd.it/1VNg,4
2024-01-03,Saltburn,2023,https://boxd.it/z4eg,3.5
2024-01-08,Headhunters,2011,https://boxd.it/2sWA,3.5
2024-01-16,Lost in Translation,2003,https://boxd.it/2b0E,4
2024-01-22,The Virgin Suicides,1999,https://boxd.it/28JG,4
2024-01-28,The Beguiled,2017,https://boxd.it/dZ1k,3
2024-01-29,The Bling Ring,2013,https://boxd.it/3lPY,2.5
2024-02-13,Dogtooth,2009,https://boxd.it/158K,4
2024-04-26,Civil War,2024,https://boxd.it/z1jW,3.5
2024-04-26,Dune: Part Two,2024,https://boxd.it/pUfA,4
2025-01-06,Hereditary,2018,https://boxd.it/hNVe,3
2025-01-06,Talk to Me,2022,https://boxd.it/C6uQ,3
2025-01-06,Satan's Slaves,2017,https://boxd.it/gJ1E,3.5
2025-01-06,Exhuma,2024,https://boxd.it/vCu0,3.5
2025-01-06,The Order,2024,https://boxd.it/EVrs,4
2025-01-06,Heretic,2024,https://boxd.it/H1lY,3
2025-01-06,Late Night with the Devil,2023,https://boxd.it/zo6G,4
2025-01-06,Longlegs,2024,https://boxd.it/KzLM,4
2025-01-06,Challengers,2024,https://boxd.it/zld0,2.5
2025-01-06,Rebel Ridge,2024,https://boxd.it/nZum,3.5
2025-01-06,Land of Bad,2024,https://boxd.it/ACqW,2.5
2025-01-06,The Last Stop in Yuma County,2023,https://boxd.it/DCVQ,4
2025-01-12,Strange Darling,2023,https://boxd.it/CVIk,3
